Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
BANG ariranha ★,@yienisles,2025-04-09T02:06:38.000Z,False,"""aí pq o lula isso"" ""pq o bolsonaro aquilo"" e ngm fala do verdadeiro problema que eh o transporte público em brasilia pqp 15 minutos esperando um ônibus e mais dez um metrô isso não existe gente olha a hora que eu tô voltando pra casa e ainda ser MAL ILUMINADO O CAMINHO",0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1909259057094901760/ISf4jmOE_bigger.jpg,https://x.com/yienisles/status/1909790023739715664,tweet_id:1909790023739715664
GraziAB,@AbmcGrazi,2025-04-08T18:30:02.000Z,False,"Pedro, os CEPACS (SP) ou UTDC (BH) são boas medidas?
BsB, plano piloto engessado, como resolver? Brasília se espalha e sem transporte público (repetindo o que eu ouço já q n̈ sou usuária).",0,0,2,146,[],[],[],https://pbs.twimg.com/profile_images/1906586939131588608/wJEV_aWd_bigger.jpg,https://x.com/AbmcGrazi/status/1909675116876734465,tweet_id:1909675116876734465
Ezequiel Mendes,@ezequielrmendes,2025-04-08T17:50:45.000Z,False,"É IMPOSSÍVEL ser feliz em Brasília e depender de transporte público fora do Plano
Cidade pra ser insalubre pqp
Quase uma hora pra fazer o percurso de 7km
Sem trânsito
Os ônibus não têm ar-condicionado
Odeio essa cidade",0,0,1,195,[],[],[],https://pbs.twimg.com/profile_images/1360740901899939841/zj2hArQx_bigger.jpg,https://x.com/ezequielrmendes/status/1909665228792459672,tweet_id:1909665228792459672
Menschik,@tenschik,2025-04-08T13:46:51.000Z,False,"Los paises mas grandes son mas dificiles de desarrollar porque necesitan construir mas hospitales, mas transporte publico, mas escuelas, mas universidades. Aun asi, preferiria vivir en Brasilia que en Uruguay. Un pais caro sin industria.",2,0,1,70,[],[],[],https://pbs.twimg.com/profile_images/1910162364743249921/QJzxEdTp_bigger.jpg,https://x.com/tenschik/status/1909603851906216349,tweet_id:1909603851906216349
Observatório Social de Brasília,@osbrasilia,2025-04-07T23:28:34.000Z,False,A  segue negando acesso às informações do transporte público do DF.,0,0,1,26,[],['@SemobDF'],[],https://pbs.twimg.com/profile_images/471102644576976897/vJd8yQJL_bigger.jpeg,https://x.com/osbrasilia/status/1909387855690186753,tweet_id:1909387855690186753
manu com ppk modas,@lacirona,2025-04-07T20:19:53.000Z,False,Vou tirar carteira de motorista na base do ódio ao uber e ao transporte público de Brasília,0,0,1,94,[],[],[],https://pbs.twimg.com/profile_images/1862237771038924803/y3suaT3H_bigger.jpg,https://x.com/lacirona/status/1909340371509035254,tweet_id:1909340371509035254
Eduardo Pimentel,@_epimentel,2025-04-07T14:26:17.000Z,True,Começando o dia em Brasília para o encontro da Frente Nacional de Prefeitos. Serão dois dias por aqui e muitas discussões importantes. Dois pontos principais serão a reforma tributária e a discussão sobre o transporte público. Eu sou a favor de que o governo federal entre nessa,1,0,12,373,[],[],[],https://pbs.twimg.com/profile_images/1851264229053001728/Rh8UUV18_bigger.jpg,https://x.com/_epimentel/status/1909251387738710518,tweet_id:1909251387738710518
rara,@ITBYUN,2025-04-07T10:12:06.000Z,False,como pode brasilia ser o pior lugar do mundo pra transporte publico? eles nao podem ver um horario que o metro  funciona de forma fluida que eles vao la e diminui A FROTA PRA TUDO ATRASAR,0,0,1,48,[],[],[],https://pbs.twimg.com/profile_images/1909184665568616449/43pnLhzH_bigger.jpg,https://x.com/ITBYUN/status/1909187420832100678,tweet_id:1909187420832100678
anna,@annattorrez,2025-04-06T21:22:37.000Z,False,"CARALHO EU ODEIO BRASILIA N TEM UM TRANSPORTE PUBLICO NESSA CIDADE 
ME DIZ COMO O POBRE SE LOCOME PQ TUDO NESSA MERDA DE LUGAR É 22 KM BRINCANDO",1,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1899996823474909184/JHXwOI-a_bigger.jpg,https://x.com/annattorrez/status/1908993771947114510,tweet_id:1908993771947114510
bel,@_luv4bangtan,2025-04-04T21:25:47.000Z,False,"aparentemente o gdf tem dinheiro pra encher brasilia com esses telões com a contagem regressiva pro aniversário mas n tem pra investir no transporte publico, que é exatamente o local onde essa foto foi tirada",0,0,1,26,[],[],[],https://pbs.twimg.com/profile_images/1865845576392134656/EjjyXQyq_bigger.jpg,https://x.com/_luv4bangtan/status/1908269792319996405,tweet_id:1908269792319996405
