Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Sinpro-DF,@sinprodf,2025-04-09T12:55:16.000Z,False,Povos indígenas de diversas etnias reunidos esta semana em Brasília no ATL apresentam entre reivindicações o direito à educação pública que respeite a diversidade cultural. A pauta foi apresentada na marcha do dia 8/4: https://x.gd/pw9hE,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1662090979371827200/PsB3L-bN_bigger.jpg,https://x.com/sinprodf/status/1909953257071325398,tweet_id:1909953257071325398
José Guimarães,@guimaraes13PT,2025-04-08T21:34:10.000Z,True,"O foco do governo  neste semestre é claro: isenção do Imposto de Renda para quem ganha até R$ 5 mil e avanço na PEC da Segurança Pública. Em coletiva em Brasília, destaquei também outras pautas importantes como o novo Plano Nacional de Educação, Lei Aldir Blanc, FGTS",7,61,208,1.5K,[],['@LulaOficial'],[],https://pbs.twimg.com/profile_images/1755329591894282241/AZ2IqUZK_bigger.jpg,https://x.com/guimaraes13PT/status/1909721455396634718,tweet_id:1909721455396634718
José Guimarães,@guimaraes13PT,2025-04-07T15:24:52.000Z,True,"Hoje, em Brasília, participei de reunião com o Ministro da Educação, , para discutir assuntos essenciais para a educação do nosso Ceará. Seguimos unidos na luta por uma educação pública, gratuita e de qualidade para todos. #Educação #Ceará",3,0,9,275,"['#Educação', '#Ceará']",['@CamiloSantanaCE'],[],https://pbs.twimg.com/profile_images/1755329591894282241/AZ2IqUZK_bigger.jpg,https://x.com/guimaraes13PT/status/1909266128976609299,tweet_id:1909266128976609299
Prof. Diego Tormes,@DiegoTormes,2025-04-06T16:30:37.000Z,False,"Qual a pauta importante para o país sendo discutida em Brasília?
1.Recursos para saúde?
2.Recursos para educação?
3.Melhora na segurança pública?
4.Resposta a desastres climáticos?
5.Anistia a quem comete crimes?
Espero, sinceramente, que as quatro primeiras sejam prioridade.",0,0,1,22,[],[],['\\U0001f1e7\\U0001f1f7'],https://pbs.twimg.com/profile_images/1848168339807375360/v0syWLtd_bigger.jpg,https://x.com/DiegoTormes/status/1908920287480930461,tweet_id:1908920287480930461
Consed,@ConsedBR,2025-04-04T18:06:15.000Z,False,"No Distrito Federal, estudantes, professores, profissionais da educação e diretores das escolas da rede pública podem se inscrever no Prêmio Inspira Brasília 2025. As inscrições estão abertas até 9 de abril.",1,0,1,23,[],[],[],https://pbs.twimg.com/profile_images/1829524511982579712/5F2D8cV0_bigger.jpg,https://x.com/ConsedBR/status/1908219580310274142,tweet_id:1908219580310274142
Sesunipampa,@SESUNIPAMPA1,2025-04-02T17:36:03.000Z,False,"A segunda reunião de 2025 da Coordenação Nacional de Entidades em Defesa da Educação Pública e Gratuita (Conedep) ocorreu no dia 27, de forma híbrida, transmitida da sede do ANDES-SN, em Brasília. Participaram representantes do ANDES-SN, Fasubra, Sinasefe, Abepss e UNE.",1,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1405504393169014784/j3ED3fEs_bigger.jpg,https://x.com/SESUNIPAMPA1/status/1907487205431341469,tweet_id:1907487205431341469
Jornal TaguaCei,@jornalTaguaCei,2025-04-01T10:11:55.000Z,False,"Prêmio Inspira Brasília abre inscrições para estudantes e professores da rede pública do DF https://jornaltaguacei.com.br/noticias/01/04/2025/premio-inspira-brasilia-abre-inscricoes-para-estudantes-e-professores-da-rede-publica-do-df… Que tal mostrar seu talento artístico e expressar o amor e admiração por Brasília? Estudantes, professores, profissionais da educação e diretores das",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1611125873255530496/zz-GbqZc_bigger.jpg,https://x.com/jornalTaguaCei/status/1907013046096044519,tweet_id:1907013046096044519
Grok,@grok,2025-03-27T22:05:34.000Z,True,"Obrigado, Aramis! Fico feliz em ajudar. Sobre o protesto de 2017 em Brasília, não foi golpe, pois não buscou tomar o poder, apenas protestar. A educação pública é vital para o Brasil, garantindo acesso, igualdade e desenvolvimento. ",1,0,0,11,[],[],['\\U0001f44c'],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_bigger.jpg,https://x.com/grok/status/1905380701806952857,tweet_id:1905380701806952857
Dra.AngelT,@AngelTGSBr,2025-03-27T21:14:06.000Z,False,"Vejam no que se transformou a UnB-Universidade de Brasília, pública e reduto esquerdista, e como a “turma do amorrr” trata quem discorda das suas ideologias como o estudante e Youtuber de direita  impedido de assistir às aulas! 
Triste decadência da educação! ",2,2,2,156,[],['@wilkerleaods'],"['\\U0001f61e', '\\U0001f624', '\\u2b07\\ufe0f']",https://pbs.twimg.com/profile_images/1697065253878575104/xdCMlNXe_bigger.jpg,https://x.com/AngelTGSBr/status/1905367752157634609,tweet_id:1905367752157634609
kleber gomes,@kleber__gomes,2025-03-14T18:11:31.000Z,True,"Faz o L!!!
 Essa dinheiro com certeza vai ir pra Educação, Segurança pública, Saúde , equacionar as dúvidas públicas!!!
 Pode ter certeza que não vai ser pra inchar ainda mais a máquina pública, nem comprar votos com emendas, muito menos pra bancar mordomias em Brasília ",0,0,0,13,[],[],"['\\U0001f921', '\\U0001f921', '\\U0001f921']",https://pbs.twimg.com/profile_images/1865484020680740864/6TyzyTbz_bigger.jpg,https://x.com/kleber__gomes/status/1900610758653640964,tweet_id:1900610758653640964
Mila Cristian,@MilaCristian12,2025-03-11T11:24:18.000Z,False,"Totalmente contra já sustentamos gente de mais em Brasil e não temos um retorno, sem saúde pública,sem educação,sem segurança..
Chega de deputados inúteis em Brasília .",0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1255179048038400000/OiQPbe2l_bigger.jpg,https://x.com/MilaCristian12/status/1899421118580089228,tweet_id:1899421118580089228
Radar Digital Brasília,@brasilia_radar,2025-03-06T19:44:41.000Z,False,Está aberta consulta pública sobre educação em tempo integral,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1745927356630360064/3q7qxtyT_bigger.jpg,https://x.com/brasilia_radar/status/1897735103192694982,tweet_id:1897735103192694982
Paulo Claudiano,@paulim11,2025-02-26T16:24:54.000Z,False,"... gasolina cara, vc defende isso. Ficaram duas décadas no poder, educação só andou pra trás, segurança pública não existe, seu presidente fala pra ir para o SUS e sai de Brasília para ir em um hospital particular em SP. É o q  vc defende, apenas isso.",1,0,1,24,[],[],[],https://pbs.twimg.com/profile_images/1470180673755529216/hu-u2HJa_bigger.jpg,https://x.com/paulim11/status/1894785723191918847,tweet_id:1894785723191918847
Jazz,@slut2310,2025-02-19T00:13:00.000Z,False,"Pessoa, que a faculdade pública é necessária pra educação de pessoas sem condições, que a alienação chegou ao nível de uma amiga dela não querer que o filho estude na melhor faculdade de Brasília e uma das melhores do país por medo do fantasma da esquerda e das drogas.",0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1898906497460944896/4gR2qEWs_bigger.jpg,https://x.com/slut2310/status/1892004422776988012,tweet_id:1892004422776988012
Valter Santana,@valterjoviniano,2025-02-18T16:05:47.000Z,False,Iniciando a agenda em Brasília com diálogo no Ministério da Educação. Seguimos trabalhando pelo fortalecimento da UFS e da educação pública! #Educação #UFS #Brasília,0,0,2,43,"['#Educação', '#UFS', '#Brasília']",[],[],https://pbs.twimg.com/profile_images/1688711046347870209/jr1QRROY_bigger.jpg,https://x.com/valterjoviniano/status/1891881808989388836,tweet_id:1891881808989388836
WFerraz representa 50 milhões flamenguistas aqui.,@TUDOSOBREOFLADF,2025-02-18T11:35:47.000Z,False,"Gratuito para quem quiser ser transportado, para curtir o 'grande' carnaval de Brasília mas quem paga a conta é o contribuinte, numa Brasília que tem Fundo Constitucional para pagar saúde, educação e segurança pública. Enfim, ñ tem cafezinho de graça não ...",0,0,2,44,[],[],[],https://pbs.twimg.com/profile_images/1881093420439273472/-8WUcEs1_bigger.jpg,https://x.com/TUDOSOBREOFLADF/status/1891813861486924044,tweet_id:1891813861486924044
Campanha Nacional pelo Direito à Educação,@camp_educacao,2025-02-14T13:53:59.000Z,True,"Segundo a professora da Universidade de Brasília (UnB) e coordenadora do Comitê DF da Campanha Nacional pelo Direito à Educação, Catarina de Almeida Santos, a gestão pública das escolas estaduais sofre ameaças em 2025.",1,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1409635667206938625/dEtNzxEi_bigger.jpg,https://x.com/camp_educacao/status/1890399090678100073,tweet_id:1890399090678100073
Fafá,@Fabiola79507950,2025-02-13T02:38:33.000Z,False,Só tenho porque tudo referente a educação pública em Brasília é divulgado.,0,0,1,38,[],[],[],https://pbs.twimg.com/profile_images/1766823244621918209/VZS7CBEi_bigger.jpg,https://x.com/Fabiola79507950/status/1889866722825609323,tweet_id:1889866722825609323
PRO BRASILIA FIANT EXIMIA,@Bruno35491747,2025-02-11T03:22:23.000Z,False,Conhecimento ainda é a moeda mais importante da humanidade. Por isso esse maldito quer substitui-la pelo sistema Paulo Freire da educação pública falida,0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1731795215336316928/3IDkkJPd_bigger.jpg,https://x.com/Bruno35491747/status/1889152977488785557,tweet_id:1889152977488785557
BandNews FM Brasília,@bandnewsbsb,2025-02-10T21:23:05.000Z,False,"As férias escolares terminaram! 

A rede pública de ensino do Distrito Federal deu início ao ano letivo nessa segunda-feira, e segundo a Secretaria de Educação, 470 mil alunos voltaram às salas de aula.",0,0,0,169,[],[],[],https://pbs.twimg.com/profile_images/1351313545703653376/12golfa1_bigger.jpg,https://x.com/bandnewsbsb/status/1889062558214025254,tweet_id:1889062558214025254
Aloisio Godoy,@god83492,2025-02-06T18:32:20.000Z,False,"Que ideia incrível, um país com 27 estados independentes, e Brasília de quebra , não seria mais fácil termos um projeto forte e constante de Brasil? Não importa quem seja o gov, algumas matrizes devem ser seguidas, infraestrutura, educação, saúde, segurança pública.",0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1848450720367849472/mGPuj-Qp_bigger.jpg,https://x.com/god83492/status/1887570035289342367,tweet_id:1887570035289342367
