Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Cesar Caldas,@cesarcaldascwb,2025-04-21T23:49:12.000Z,False,"87% dos voos internacionais que aqui chegam descem em
(  ) São Paulo
(  ) Rio de Janeiro
(  ) BrasíliaO policiamento das ruas dessas cidades está a cargo dos governos
ESTADUAIS de SP, RJ e DF. De que
PARTIDO é o governador da UF em que você pousou?",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1857794802974146560/GyaOqbnn_bigger.jpg,https://x.com/cesarcaldascwb/status/1914466479480639979,tweet_id:1914466479480639979
Metrópoles,@Metropoles,2025-04-19T19:00:00.000Z,True," Confira as alterações no trânsito nas festas de 65 anos de BrasíliaEquipes de policiamento e fiscalização de trânsito atuarão das 14h às 2h nos três dias de comemoração, em apoio à Polícia Militar

Leia: https://curt.link/odhaz",1,0,1,2.4K,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1642966741138415647/fHdgQUGl_bigger.jpg,https://x.com/Metropoles/status/1913668925612765612,tweet_id:1913668925612765612
wellingtonluizdf,@wellington_luiz,2025-04-19T18:36:25.000Z,False,"Brasília completa 65 anos e a festa será segura e tranquila! O DF contará com reforço no policiamento, tecnologia de ponta e presença ampliada das forças de segurança. Parabéns aos profissionais que estarão nas ruas garantindo a proteção e tranquilidade de todos!",0,0,0,45,[],[],[],https://pbs.twimg.com/profile_images/1658531769421815819/aZxgjRzC_bigger.jpg,https://x.com/wellington_luiz/status/1913662991582560624,tweet_id:1913662991582560624
Correio Braziliense,@correio,2025-04-17T11:52:49.000Z,False,"Segurança reforçada para a festa dos 65 anos de BrasíliaForças de segurança atuam com policiamento especializado, câmeras, drones e delegacia móvel na Esplanada dos Ministérios.",0,1,1,624,[],[],['\\U0001f3d9\\ufe0f'],https://pbs.twimg.com/profile_images/1876033723205902336/knAyRqnd_bigger.jpg,https://x.com/correio/status/1912836644543041678,tweet_id:1912836644543041678
Técio Melo,@tecio_melo,2025-04-07T13:59:18.000Z,False,"Quem financia esse acampamento indígena no centro de Brasília?

Se fosse um acampamento voltado ao Agro, será que poderia também?

Obs: Não há policiamento algum no local.",0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1773145047929618432/i33JuHEa_bigger.jpg,https://x.com/tecio_melo/status/1909244596200022020,tweet_id:1909244596200022020
(),@Saipralavendil1,2025-03-30T12:57:02.000Z,True,"Brasília 
29-nov-2016:

À noite não se podia andar direito por Brasília sem ser avistado por um carro da polícia. Qualquer grupinho de 3 pessoas já era algo a se vigiar de perto.

Em 08-01-2023 Brasília curiosamente fica esvaziada quanto a policiamento. Quão conveniente, não é?!",2,2,14,321,[],[],[],https://pbs.twimg.com/profile_images/1397169504027877378/o2q5HGMI_bigger.jpg,https://x.com/Saipralavendil1/status/1906329824362180625,tweet_id:1906329824362180625
v|t0π|å,@vivisdabest,2025-03-28T13:07:22.000Z,False,"vê se o governador de brasília impediu policiamento nesse dia e foi dormir kkkkkkkkk

vê se foi um ataque a UM poder específico

Raiva n é golpe de estado, apesar disso ai ser crime mesmo, mas crime CIVIL. Golpe de estado tem plano e intuito.",1,0,8,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1518328154070339590/-5UOssmq_bigger.jpg,https://x.com/vivisdabest/status/1905607649703452852,tweet_id:1905607649703452852
Jota_sfc,@jotanego9,2025-03-18T21:10:41.000Z,False,Brasília é policiamento o tempo todo kkkkkkk,0,0,2,283,[],[],[],https://pbs.twimg.com/profile_images/1895974387242721280/N9422HSX_bigger.jpg,https://x.com/jotanego9/status/1902105400201097432,tweet_id:1902105400201097432
MAK BR,@marizekoerich,2025-03-04T13:17:08.000Z,False,"Um golpe de Estado exige: 
Apoio militar, político ou econômico

De 2 a 8/  a Abin emitiu 33 alertas,  p GSI e Ministério da Justiça, sobre caravanas p/  Brasília e o risco de invasão a prédios públicos
+ 
Não havia policiamento 
+
Vídeos que “sumiram” 

Isso chama-se ARMAÇÃO",1,0,1,24,[],[],[],https://pbs.twimg.com/profile_images/1613627740120399873/FuloCQf2_bigger.jpg,https://x.com/marizekoerich/status/1896912796392231193,tweet_id:1896912796392231193
sistema éther de (IA ),@sistemaether,2025-02-26T21:10:51.000Z,False,"mais uma conta interessante em brasilia 2,817 milhões (2022) de habitantes e  Atualmente, 9.829 efetivos responsáveis pelo policiamento — número que pode chegar a 11.089 com a inclusão dos novos integrantes
porem 2 milhões de pessoas no congresso ia ser dms",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1919336625890316288/bBMlLrf0_bigger.jpg,https://x.com/sistemaether/status/1894857684320690494,tweet_id:1894857684320690494
Lucas Pedrosa,@pedrosa,2025-02-26T19:13:35.000Z,True,"Vasco x Flamengo foi alterado para as 17h45 (de Brasília). 

Depois de um pedido do Vasco, o BEPE aceitou a abertura dos setores Norte e Sul, antes proibidos pela PM. 

“Assessoria de Imprensa da SEPM informa que o Batalhão Especializado de Policiamento em Estádios (BEPE)",37,66,1.3K,85K,[],[],[],https://pbs.twimg.com/profile_images/1744448855444279297/1OyhmmgU_bigger.jpg,https://x.com/pedrosa/status/1894828172635488488,tweet_id:1894828172635488488
Elizeu Santos,@elizeusantos,2025-02-24T16:37:09.000Z,False,"#BoatardeDF. #Brasília.

1. Em todas as cidades, necessário é via ofício aos Prefeitos, e nas capitais, aos Governadores: 

a) local da manifestação; 
b) policiamento; e 
c) equipe de socorro.

2. Panfletagem digital e impressa contra a violência.
3. #NoLula.#Brasil . Selva!",0,0,2,73,"['#BoatardeDF', '#Brasília', '#NoLula', '#Brasil']",[],['\\U0001f1e7\\U0001f1f7'],https://pbs.twimg.com/profile_images/567256094611742720/BLiLLrGY_bigger.jpeg,https://x.com/elizeusantos/status/1894064030857167113,tweet_id:1894064030857167113
Denise Souza,@denisegts,2025-02-17T01:39:20.000Z,True,"De quem seria a responsabilidade pelo policiamento nas ruas?

Aqui em Brasília, o Governador retira imediatamente o comandante da PM,  quando começa a dar muita merda. 

O que faz o seu governador?

O judiciário tem responsabilidade?",1,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1907420460456845312/6OUjOSsW_bigger.jpg,https://x.com/denisegts/status/1891301371401441570,tweet_id:1891301371401441570
Renan Schneider,@RenanSchneide20,2025-02-13T22:38:53.000Z,False,"O policiamento é estadual, mas toda a legislação penal e processual penal é discutida em Brasília e apenas em Brasília.",1,0,2,74,[],[],[],https://pbs.twimg.com/profile_images/1771644533484244993/Uvua7AYx_bigger.jpg,https://x.com/RenanSchneide20/status/1890168796306124926,tweet_id:1890168796306124926
Elizeu Santos,@elizeusantos,2025-02-12T08:59:41.000Z,False,"#BomdiaDF. #Brasília.

À Polícia Federal, ao Ministério Público Federal e à Polícia Civil do Distrito Federal.

Sugiro uma varredura do subsolo dos prédios às estações do Metrô/DF. Esta área precisa ser mais monitorada por câmeras de vídeo e policiamento.#Brasil . Selva!",0,0,0,64,"['#BomdiaDF', '#Brasília', '#Brasil']",[],['\\U0001f1e7\\U0001f1f7'],https://pbs.twimg.com/profile_images/567256094611742720/BLiLLrGY_bigger.jpeg,https://x.com/elizeusantos/status/1889600251448660192,tweet_id:1889600251448660192
MAK BR,@marizekoerich,2025-02-10T21:27:13.000Z,False,"Ela achou um monte de “fatos novos” - até armas q estavam a alguns km dali 

Talvez não saiba que … Brasília é armada até os dentes / por “coincidência” naquele dia - estava até sem policiamento e segurança nos locais (pré) invadidos",0,0,0,12,[],[],[],https://pbs.twimg.com/profile_images/1613627740120399873/FuloCQf2_bigger.jpg,https://x.com/marizekoerich/status/1889063596992201101,tweet_id:1889063596992201101
,@Estevao_1974,2025-02-06T12:06:56.000Z,False,"Por qual motivo não suspende o policiamento na zona sul?
Esse político, lá de Brasília, longe desse inferno que é o RJ, fica cagando regra para quem vive sendo humilhado nas ruas por bandidos protegidos por eles. Isso é o cúmulo! Indecente! Para que votamos em  ?",0,1,10,113,[],['@GovRJ'],[],https://pbs.twimg.com/profile_images/1855569705118937088/pFz5n-wg_bigger.jpg,https://x.com/Estevao_1974/status/1887473047138894123,tweet_id:1887473047138894123
João Silva Brasília,@bsb_joaosilva,2025-02-05T05:22:03.000Z,False,"Não adiantaria. O tíquete é só uma desculpa. Se for eletrônico, eles vão cobrar pra ""olhar"". É botar policiamento que não participe do negócio.",0,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1123022306329206784/YlhpIOFY_bigger.png,https://x.com/bsb_joaosilva/status/1887008765783711862,tweet_id:1887008765783711862
"FLAMENGO, O MAIS QUERIDO DO MUNDMQDM",@JafeCarelli,2025-02-03T22:43:58.000Z,True,"Tem um ditado que diz:
Não há mal que sempre dure, nem bem que nunca se acabe.  
Mas esta situação devemos a Brasília. Brasilia é segura. O Rio foi Capital do Brasil por 197 anos. Capital com policiamento, segurança. A ""alma cultural "" do lifestyle brasileiro. Hoje o brasil não",0,1,2,33,[],[],[],https://pbs.twimg.com/profile_images/1904994315165724672/GLmhAUkD_bigger.jpg,https://x.com/JafeCarelli/status/1886546196652835181,tweet_id:1886546196652835181
Destak Brasilia,@destakbra,2025-02-03T17:28:00.000Z,False,Segurança Pública e Ações de Policiamento: Garantindo a Ordem e a Tranquilidade nas Cidades - Saiba mais em:,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1679120930117656577/foS_o-lY_bigger.png,https://x.com/destakbra/status/1886466682622738436,tweet_id:1886466682622738436
Adevogada dos pobres e ricosᶜʳᶠ,@Notweeti,2025-02-02T14:50:32.000Z,False,"Meu Deus, qual a dificuldade de aumentar o policiamento? Jogo em Brasília convoca quase a PM do território inteiro, é cavalaria, é tropa de choque. Tem que encarar jogo de futebol como evento de verdade.",0,0,0,103,[],[],[],https://pbs.twimg.com/profile_images/1700561913824862208/E0mUp3p5_bigger.jpg,https://x.com/Notweeti/status/1886064665119142029,tweet_id:1886064665119142029
rai.py,@notsraiissa,2025-01-25T23:51:31.000Z,False,"Eu sou a favor de ter muito mais jogos aqui em Brasília, organização 10/10, segurança e policiamento em todos os cantos, quem tiver hospedado no setor hoteleiro vai a pé sem perigo nenhum, pós jogo tem vários lugares para ir, tudo perto, qual outro estádio tem isso tudo?",2,1,8,272,[],[],[],https://pbs.twimg.com/profile_images/1918200873093677056/XE2wPyKG_bigger.jpg,https://x.com/notsraiissa/status/1883301707188511165,tweet_id:1883301707188511165
Carlos Paiva,@CarlosACVP,2025-01-09T09:47:04.000Z,False,"Alguns poucos não “entenderam”:
A tentativa de golpe consistiu em gerar o caos em Brasília, para que a GLO fosse decretada. Neste sentido, o comando da PM-DF não mandou o policiamento e por isso cinco oficiais foram presos.
Agora, cadê os valentes que pediam intervenção militar?",0,0,1,12,[],[],[],https://pbs.twimg.com/profile_images/1181561259361218560/O3JUd_lZ_bigger.jpg,https://x.com/CarlosACVP/status/1877290987887698167,tweet_id:1877290987887698167
Carlos Paiva,@CarlosACVP,2025-01-09T09:23:36.000Z,False,"Alguns poucos não “entenderam”:
A tentativa de golpe consistiu em gerar o caos em Brasília, para que a GLO fosse decretada. Neste sentido, o comando da PM-DF não mandou o policiamento e por isso cinco oficiais foram presos.
Agora, cadê os valentes que pediam intervenção militar?",1,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1181561259361218560/O3JUd_lZ_bigger.jpg,https://x.com/CarlosACVP/status/1877285080772604164,tweet_id:1877285080772604164
Correio Braziliense,@correio,2025-01-08T11:21:10.000Z,False,"Esplanada será fechada para ato de dois anos do 8 de janeiro
Haverá um reforço no policiamento na área central de Brasília. A entrada do público externo será feita a partir da Avenida José Sarney",9,2,10,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1876033723205902336/knAyRqnd_bigger.jpg,https://x.com/correio/status/1876952278881415230,tweet_id:1876952278881415230
Correio Braziliense,@correio,2025-01-08T10:54:03.000Z,False," Esplanada será fechada para ato de dois anos do 8 de janeiro

Haverá um reforço no policiamento na área central de Brasília. A entrada do público externo será feita a partir da Avenida José Sarney",0,0,3,916,[],[],['\\U0001f3d9\\ufe0f'],https://pbs.twimg.com/profile_images/1876033723205902336/knAyRqnd_bigger.jpg,https://x.com/correio/status/1876945456510509070,tweet_id:1876945456510509070
