Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Obay Corinthians,@ObayCSGO,2025-04-11T00:56:10.000Z,False,"Quem é a burguesia?

Sabe que 90% dos ricos do Brasil estão em Brasília ou no funcionalismo público?

Quem paga isso é quem não tem saneamento básico

E ai votamos em pessoas que aumentam farra e mamata

Eu defendo um estado enxuto mas forte",1,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1509241308124172300/AiUzRqOA_bigger.jpg,https://x.com/ObayCSGO/status/1910497066578571406,tweet_id:1910497066578571406
ABCdoABC,@abcdoabc,2025-03-18T16:21:29.000Z,True,Trabalhadores protestam em Brasília contra privatização do saneamento público,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/952959897284554753/-F0IDtt7_bigger.jpg,https://x.com/abcdoabc/status/1902032622726832416,tweet_id:1902032622726832416
João Silva Brasília,@bsb_joaosilva,2024-11-23T23:40:16.000Z,False,"Não entendi, .

O Instituto  passou anos dizendo que única saída para o saneamento era a privatização.

Agora que a lei está valendo o mesmo instituto diz que é preciso mais investimento público pra resolver?",0,0,0,37,[],"['@jornalnacional', '@tratabrasil']",[],https://pbs.twimg.com/profile_images/1123022306329206784/YlhpIOFY_bigger.png,https://x.com/bsb_joaosilva/status/1860468439560651194,tweet_id:1860468439560651194
Claudio Dorneles,@ClaudioDornele1,2024-08-21T13:50:53.000Z,False,"Quem disse q não tem saneamento básico no Brasil? Essa é a imagem do esgoto há céu aberto em Brasília,maior desperdício do dinheiro público atualmente!",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1550132222358863872/XCkZmN-y_bigger.jpg,https://x.com/ClaudioDornele1/status/1826255657529639189,tweet_id:1826255657529639189
João Silva Brasília,@bsb_joaosilva,2024-04-06T17:03:59.000Z,False,"Está acontecendo um festival de RODEIO no Parque da Cidade. É isso: não importa hospitais, UPAs, transporte público, drenagem, saneamento, iluminação, segurança. Basta alimentar o gado.",0,0,0,194,[],[],[],https://pbs.twimg.com/profile_images/1123022306329206784/YlhpIOFY_bigger.png,https://x.com/bsb_joaosilva/status/1776657114179547427,tweet_id:1776657114179547427
pablo,@pablocrvg_98,2024-02-28T22:27:43.000Z,False,"enquanto isso tem lugares sem saneamento básico, sem educação d qualidade, sem saúde, sem segurança. Papo reto, essa farra que vocês fazem com o dinheiro público só vai acabar quando cair uma bomba em Brasília.",0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1398449882088853508/t_dh3m27_bigger.jpg,https://x.com/pablocrvg_98/status/1762967846303203377,tweet_id:1762967846303203377
Medo e Delírio em Brasília,@medoedeliriobr,2024-02-17T02:45:11.000Z,False,"Bom retrato do privatismo brasileiro: o governo de SP publicou o novo modelo de REGULAÇÃO da Sabesp, que reduz brutalmente o poder da agência... REGULADORA! O mercado elogia, mas ainda assim chora!

(ARSESP é a agência reguladora de saneamento público}https://braziljournal.com/sabesp-as-regras-do-jogo-depois-da-privatizacao/…",2,32,234,12K,[],[],[],https://pbs.twimg.com/profile_images/1371786451155816454/PQe3_WgN_bigger.jpg,https://x.com/medoedeliriobr/status/1758683983649358203,tweet_id:1758683983649358203
Thomaztvrs,@thomaztvrs,2023-12-26T23:21:51.000Z,False,"Já morei em vários lugares. Quatro capitais: Belém, BH, São Paulo e agora Brasília. Todas têm problemas: habitação, transporte público, saneamento, violência, facções criminosas, trânsito horrível. São problemas estruturais do nosso país gente.",0,0,3,122,[],[],[],https://pbs.twimg.com/profile_images/1903882050064855040/qxYjCtvc_bigger.jpg,https://x.com/thomaztvrs/status/1739788645433770265,tweet_id:1739788645433770265
Impostuinte™,@ReginaBrasilia,2023-11-30T20:14:23.000Z,False,"Ora pois, banheiro é uma medida genial porque engloba automaticamente saneamento no público e condição financeira para construir mais de um, no privado. E quanto mais quebra-molas, é porque o povo tem menos educação no trânsito. Precisa do primeiro e não deveria ter o segundo.",0,0,1,22,[],[],[],https://pbs.twimg.com/profile_images/1873372449024135168/BT9BOk82_bigger.jpg,https://x.com/ReginaBrasilia/status/1730319381782016394,tweet_id:1730319381782016394
MAB,@MAB_Brasil,2023-08-24T23:11:16.000Z,False," Na tarde de 15/08, o MAB esteve no lançamento da Frente Parlamentar Mista em Defesa do Saneamento Público, realizado na Câmara dos Deputados, em Brasília (DF). : Comunicação FNU#ÁguaÉDireito #AtingidosDoBrasil",2,1,9,319,"['#ÁguaÉDireito', '#AtingidosDoBrasil']",[],"['\\u270a\\U0001f3ff', '\\U0001f4a6', '\\U0001f4f8']",https://pbs.twimg.com/profile_images/1712689398163128320/u1ZEuJPV_bigger.jpg,https://x.com/MAB_Brasil/status/1694849888180150408,tweet_id:1694849888180150408
Sintaema-SP,@Sintaema,2023-08-22T21:33:07.000Z,False,"POR UM SANEAMENTO PÚBLICO! Na última semana, as articulações contra a privatização da Sabesp ganharam força. Na terça-feira (15) houve o lançamento em Brasília da Frente Parlamentar Mista em Defesa do Saneamento Público, e claro, o Sintaema marcou presença.",0,1,2,54,[],[],['\\U0001f4a7'],https://pbs.twimg.com/profile_images/1902823356774129664/uC2rJrX0_bigger.jpg,https://x.com/Sintaema/status/1694100409214779518,tweet_id:1694100409214779518
