Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
fiocruzbrasilia,@fiocruzbrasilia,2025-04-09T18:24:55.000Z,False," A  e a Faculdade de Saúde Pública da , por meio do Nethis/Fiocruz Brasília e do Cepedisa/USP, unem-se para debater a regulação da inteligência artificial na saúde. Confira a programação completa: http://bit.ly/seminario-nethis-cepedisa…",0,1,1,521,[],"['@fiocruzbrasilia', '@usponline']","['\\U0001f4e2', '\\U0001f4c4']",https://pbs.twimg.com/profile_images/1907137776920784896/y1j9tvuL_bigger.jpg,https://x.com/fiocruzbrasilia/status/1910036215115702680,tweet_id:1910036215115702680
Repórter Brasília,@reportbrasilia,2025-04-07T19:53:31.000Z,False,Laboratório Central de Saúde Pública se consolida como banco de dados genético,0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1301167081451409408/QaIXpSVo_bigger.jpg,https://x.com/reportbrasilia/status/1909333738061726076,tweet_id:1909333738061726076
Prof. Diego Tormes,@DiegoTormes,2025-04-06T16:30:37.000Z,False,"Qual a pauta importante para o país sendo discutida em Brasília?
1.Recursos para saúde?
2.Recursos para educação?
3.Melhora na segurança pública?
4.Resposta a desastres climáticos?
5.Anistia a quem comete crimes?
Espero, sinceramente, que as quatro primeiras sejam prioridade.",0,0,1,21,[],[],['\\U0001f1e7\\U0001f1f7'],https://pbs.twimg.com/profile_images/1848168339807375360/v0syWLtd_bigger.jpg,https://x.com/DiegoTormes/status/1908920287480930461,tweet_id:1908920287480930461
Mario,@antoniomar29631,2025-04-06T15:00:25.000Z,False,"Ajudar resolver os problemas da saúde pública ela não quer,mais cheirar o cool do bolsobosta e da corremao do congresso isso ela faz mt bem.
Essa aí é um  lixo q Brasilia leva nas costas.
Só qria saber qm paga essas viagens de encontros de terroristas e de organização criminosa?",0,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1819539120680554496/SsTMt9Ur_bigger.png,https://x.com/antoniomar29631/status/1908897590164275359,tweet_id:1908897590164275359
Brasilemmapas,@brasilemmapas,2025-04-01T16:53:38.000Z,False,"2. Saúde pública é péssima em toda Brasília incluído as R.A. Atendimento péssimo nas UPAs/UBS. 5h a 1 dia espera;
...",0,0,12,413,[],[],[],https://pbs.twimg.com/profile_images/1684224638560223234/s_rx38GA_bigger.jpg,https://x.com/brasilemmapas/status/1907114142839742625,tweet_id:1907114142839742625
Celso Giannazi,@CelsoGiannazi,2025-03-28T21:02:44.000Z,False,"Em defesa do Hospital Saboya e da saúde da população!

Enquanto o prefeito faz lobby em Brasília para manter o confisco de aposentadorias e pensões, eu luto pelo fim do confisco e pela qualidade da saúde pública de São Paulo.",1,1,5,95,[],[],[],https://pbs.twimg.com/profile_images/1851316740375912448/YxBQX8Fh_bigger.jpg,https://x.com/CelsoGiannazi/status/1905727277595557898,tweet_id:1905727277595557898
Brasília Agora,@brasilia_agora,2025-03-28T14:25:08.000Z,False,"A equipe da Hemodinâmica do Hospital de Base do Distrito Federal (HBDF) realizou, no último dia 13 de março, o primeiro implante de marcapasso sem fio na história da rede pública de saúde do DF.

► Acompanhe esta e mais notícias do dia pelo nosso site:https://brasiliaagora.com.br/equipe-do-hospital-de-base-implanta-o-primeiro-marcapasso-sem-fio-na-rede-publica-do-df/…",0,0,0,16,[],[],[],https://pbs.twimg.com/profile_images/1295728156834496513/D3ElHc85_bigger.jpg,https://x.com/brasilia_agora/status/1905627217746424182,tweet_id:1905627217746424182
CONASS,@ConassOficial,2025-03-27T20:00:10.000Z,True,"Na CIT gestores do SUS debatem, com a nova gestão do Ministério, temas importantes para a saúde públicaOs números da dengue e as próximas ações no âmbito do Programa Mais Acesso a Especialistas foram destaques na reunião que aconteceu nesta quinta-feira (27), em Brasília.#SUS",0,0,1,302,['#SUS'],[],[],https://pbs.twimg.com/profile_images/1806789782430736385/vjJCy-94_bigger.jpg,https://x.com/ConassOficial/status/1905349145000288550,tweet_id:1905349145000288550
Deputado Zé Inácio,@depzeinacio,2025-03-27T17:56:36.000Z,False,"Hoje (27) em Brasília, acompanhei a entrega de 156 novas ambulâncias do SAMU pelo governo do Presidente Lula. Um grande reforço para a saúde pública, reduzindo o tempo de espera e salvando vidas! Seguimos trabalhando por um Brasil mais justo e com mais investimentos! #GovernoLula",0,0,1,20,['#GovernoLula'],[],[],https://pbs.twimg.com/profile_images/1621594591945179136/bm8NTb9N_bigger.jpg,https://x.com/depzeinacio/status/1905318049546142149,tweet_id:1905318049546142149
Valdir Oliveira,@antoniovaldir,2025-03-27T14:23:32.000Z,True,"E a saúde pública do Distrito Federal está abandonada a própria sorte….. já não é mais falta de gestão, é crime o que estão fazendo com o povo de Brasília…. Não vai ser na soneca que vai resolver essa situação, Brasília precisa mudar….",0,1,1,21,[],[],[],https://pbs.twimg.com/profile_images/1718232588123295744/If8K61JN_bigger.jpg,https://x.com/antoniovaldir/status/1905264426954924203,tweet_id:1905264426954924203
