Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Fui roubado pelo INSS,@keep_kiss001,2024-07-12T15:42:38.000Z,False, #BalançoGeralRJ impossível crer que la em Brasília queiram fazer algo pelo RJ. Segurança publica deveria ser prioridade. Mas so empurram impostos,0,0,0,23,['#BalançoGeralRJ'],['@tinojunior'],[],https://pbs.twimg.com/profile_images/1890548151062331392/MgHivQ8y_bigger.jpg,https://x.com/keep_kiss001/status/1811788266569417168,tweet_id:1811788266569417168
Global Anti Scam Alliance (GASA),@ScamAlliance,2024-05-15T11:02:49.000Z,False," Join Rafael Fernandes of  and , at 18ª Segurança Pública em Foco! 2024/5/15, 10:00, Brasília Brazilian PT Be there at 10AM: https://loom.ly/eDJ2bec #PublicSafety #Cybercrime #GASA #MPMG #Events #Webinar #Brazilian #Brasil",0,0,0,68,"['#PublicSafety', '#Cybercrime', '#GASA', '#MPMG', '#Events', '#Webinar', '#Brazilian', '#Brasil']","['@MPMG_Oficial', '@ScamAlliance', '@cnmp_oficial']","['\\U0001f310', '\\U0001f4c5', '\\U0001f4cd', '\\U0001f5e3\\ufe0f', '\\U0001f517']",https://pbs.twimg.com/profile_images/1470837860525756418/hNWGJ67h_bigger.jpg,https://x.com/ScamAlliance/status/1790699350730928528,tweet_id:1790699350730928528
Global Anti Scam Alliance (GASA),@ScamAlliance,2024-05-07T11:08:04.000Z,False," Join Rafael Fernandes of  and , at 18ª Segurança Pública em Foco! 2024/5/15, 10:00, Brasília Brazilian PT Save the date: https://loom.ly/eDJ2bec #PublicSafety #Cybercrime #GASA #MPMG #Events #Webinar #Brazilian #Brasil",0,0,0,67,"['#PublicSafety', '#Cybercrime', '#GASA', '#MPMG', '#Events', '#Webinar', '#Brazilian', '#Brasil']","['@MPMG_Oficial', '@ScamAlliance', '@cnmp_oficial']","['\\U0001f310', '\\U0001f4c5', '\\U0001f4cd', '\\U0001f5e3\\ufe0f', '\\U0001f517']",https://pbs.twimg.com/profile_images/1470837860525756418/hNWGJ67h_bigger.jpg,https://x.com/ScamAlliance/status/1787801568932204618,tweet_id:1787801568932204618
RI Works,@riworksunesp,2023-06-26T01:22:28.000Z,False,"- São Paulo/SP - Compliance Risk and Diligence Intern, na Krollhttps://lnkd.in/deY3EKQ3- Brasília/DF - Estagiário(a) de Relações Internacionais, no Ministério da Justiça e Segurança Pública",1,0,1,167,[],[],[],https://pbs.twimg.com/profile_images/1168308787737964545/fVvxK2SR_bigger.jpg,https://x.com/riworksunesp/status/1673139633998413824,tweet_id:1673139633998413824
And Ssauro,@AndSsauro,2023-01-15T12:31:37.000Z,False,"Nem internas e nem externas, ninguem filmou com drone e Brasilia não tem cameras de segurança em nenhuma area publica, igual no dia da prisão do indio, NÃO HÁ IMAGEM ALGUM DO VIDEO MONITORAMENTO DA CIDADE. Incrível.",0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1611886853552050178/RAloy7A1_bigger.jpg,https://x.com/AndSsauro/status/1614601196487974915,tweet_id:1614601196487974915
mesmo sem motivos eu sorreio,@eaiparceira,2022-12-24T20:27:11.000Z,False,O episódio da bomba próx ao aeroporto de Brasília enfatiza mais ainda a necessidade das nossas autoridades e forças policiais levarem a sério a segurança pública em relação aos ameaças/atos golpistas e terroristas por parte de bolsonaristas radicais que não aceitam a derrota.,2,5,13,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1897429557310902272/WzwULmgr_bigger.jpg,https://x.com/eaiparceira/status/1606748343115341832,tweet_id:1606748343115341832
Race and Equality,@raceandequality,2022-03-30T23:05:57.000Z,False,"#Brasil Raça e Igualdade esteve junto a Clément Voule, Relator da  sobre Direito à Liberdade de Reunião e Associação Pacífica, em Brasília, para contribuir com o diálogo e recomendações perante a histórica violência das forças policiais e segurança pública país.",1,0,1,0,['#Brasil'],['@UNHumanRights'],"['\\U0001f1e7\\U0001f1f7', '\\u270a\\U0001f3fd']",https://pbs.twimg.com/profile_images/1895171558651359232/TWTWFR3m_bigger.jpg,https://x.com/raceandequality/status/1509305960610865155,tweet_id:1509305960610865155
John Sullivan,@ZFTWARNING,2019-11-30T05:52:23.000Z,True,"I participated with Under Secretary Alfredo Carrijo, Public Security Secretariat, Brasilia and  Secretary Luis Mauro Albuquerque Araújo, Penitenciária do Ceará on prison gangs at the Seminário Internacional sobre a Segurança Pública in Brasilia 27 Nov 2019 https://lnkd.in/gZiEZAq",1,3,4,0,[],[],[],https://pbs.twimg.com/profile_images/900913658158391296/WIGxZwrH_bigger.jpg,https://x.com/ZFTWARNING/status/1200653783513960448,tweet_id:1200653783513960448
John Sullivan,@ZFTWARNING,2019-11-30T04:08:32.000Z,True,"I presented ""Transnational Crime and the State: Criminal Insurgencies, Crime Wars, Gangs, Mafias, and Cartels"" to an international seminar sponsored by the Secretaria de Estado de Segurança Pública do Distrito Federal in Brasilia. on 27 November 2019 https://lnkd.in/gZiEZAq",9,35,145,0,[],[],[],https://pbs.twimg.com/profile_images/900913658158391296/WIGxZwrH_bigger.jpg,https://x.com/ZFTWARNING/status/1200627647019008000,tweet_id:1200627647019008000
MAKE LOVE AND NOT WAR,@RickyWill0309,2019-03-24T15:00:35.000Z,False,"Se Moro não entende de política, justiça ou segurança pública o que o #MarrecodeMaringa está fazendo em BrasíliaMoro entende de quê? https://brasil247.com/pt/blog/alex_solnik/387925/Moro-entende-de-qu%C3%AA.htm… via ",0,1,1,0,['#MarrecodeMaringa'],['@brasil247'],[],https://pbs.twimg.com/profile_images/1278054721824178176/HQ1-8bos_bigger.jpg,https://x.com/RickyWill0309/status/1109832389121970179,tweet_id:1109832389121970179
