Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Observatório Social de Brasília,@osbrasilia,2025-04-07T23:28:34.000Z,False,A  segue negando acesso às informações do transporte público do DF.,0,0,1,14,[],['@SemobDF'],[],https://pbs.twimg.com/profile_images/471102644576976897/vJd8yQJL_bigger.jpeg,https://x.com/osbrasilia/status/1909387855690186753,tweet_id:1909387855690186753
manu com ppk modas,@lacirona,2025-04-07T20:19:53.000Z,False,Vou tirar carteira de motorista na base do ódio ao uber e ao transporte público de Brasília,0,0,1,73,[],[],[],https://pbs.twimg.com/profile_images/1862237771038924803/y3suaT3H_bigger.jpg,https://x.com/lacirona/status/1909340371509035254,tweet_id:1909340371509035254
Eduardo Pimentel,@_epimentel,2025-04-07T14:26:17.000Z,True,Começando o dia em Brasília para o encontro da Frente Nacional de Prefeitos. Serão dois dias por aqui e muitas discussões importantes. Dois pontos principais serão a reforma tributária e a discussão sobre o transporte público. Eu sou a favor de que o governo federal entre nessa,1,0,12,276,[],[],[],https://pbs.twimg.com/profile_images/1851264229053001728/Rh8UUV18_bigger.jpg,https://x.com/_epimentel/status/1909251387738710518,tweet_id:1909251387738710518
rara,@ITBYUN,2025-04-07T10:12:06.000Z,False,como pode brasilia ser o pior lugar do mundo pra transporte publico? eles nao podem ver um horario que o metro  funciona de forma fluida que eles vao la e diminui A FROTA PRA TUDO ATRASAR,0,0,1,40,[],[],[],https://pbs.twimg.com/profile_images/1909184665568616449/43pnLhzH_bigger.jpg,https://x.com/ITBYUN/status/1909187420832100678,tweet_id:1909187420832100678
anna,@annattorrez,2025-04-06T21:22:37.000Z,False,"CARALHO EU ODEIO BRASILIA N TEM UM TRANSPORTE PUBLICO NESSA CIDADE 
ME DIZ COMO O POBRE SE LOCOME PQ TUDO NESSA MERDA DE LUGAR É 22 KM BRINCANDO",1,0,0,43,[],[],[],https://pbs.twimg.com/profile_images/1899996823474909184/JHXwOI-a_bigger.jpg,https://x.com/annattorrez/status/1908993771947114510,tweet_id:1908993771947114510
bel,@_luv4bangtan,2025-04-04T21:25:47.000Z,False,"aparentemente o gdf tem dinheiro pra encher brasilia com esses telões com a contagem regressiva pro aniversário mas n tem pra investir no transporte publico, que é exatamente o local onde essa foto foi tirada",0,0,1,24,[],[],[],https://pbs.twimg.com/profile_images/1865845576392134656/EjjyXQyq_bigger.jpg,https://x.com/_luv4bangtan/status/1908269792319996405,tweet_id:1908269792319996405
Washington,@Washing77434398,2025-04-04T20:08:02.000Z,True,"Esse tal de Caiado não consegue resolver o problema de transporte público do entorno de Goiás para Brasília, e acha que vai fazer alguma coisa pelo Brasil !! Aí aí viu",0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1303405569752084482/eUgOSxKS_bigger.jpg,https://x.com/Washing77434398/status/1908250229100732472,tweet_id:1908250229100732472
a nova perereca endêmica do cerrado,@meiadoisdez,2025-04-03T11:41:26.000Z,False,hoje completo 2 anos morando em brasília e mais do que nunca urge um curso de etiqueta no transporte público pro povo dessa cidade,0,0,0,81,[],[],[],https://pbs.twimg.com/profile_images/1883874826609213440/UWlGTsj__bigger.jpg,https://x.com/meiadoisdez/status/1907760348842614834,tweet_id:1907760348842614834
LUYD-SE,@sou_luyd,2025-04-03T02:11:00.000Z,False,Hoje fui feito de trouxa pelo meu próprio TDAH e o transporte público de Brasília!,0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1894443426734546944/XhtowZxL_bigger.jpg,https://x.com/sou_luyd/status/1907616796863017119,tweet_id:1907616796863017119
𝙶𝙸𝚄,@giu_brancoo,2025-04-01T21:40:18.000Z,False,depender de transporte público em Brasília é um cu viu,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1745294208934580224/FpZPH5-g_bigger.jpg,https://x.com/giu_brancoo/status/1907186284130635878,tweet_id:1907186284130635878
