Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
felipe,@felpismoura,2025-04-29T21:55:32.000Z,False,"eu ODEIO depender do transporte público de Brasília, que lugar amaldiçoado por Deus!",0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1847800055127855104/v9oaRIc7_bigger.jpg,https://x.com/felpismoura/status/1917336976220454985,tweet_id:1917336976220454985
и,@lanza90s,2025-04-29T13:15:49.000Z,False,"queria entender como que a CAPITAL do país possui um transporte público tão medíocre, sinceramente

se tivesse metrô em TODAS as cidades satélites, brasília não seria esse caos tnc",0,0,1,25,[],[],[],https://pbs.twimg.com/profile_images/1916808635956510720/-3f1bdIS_bigger.jpg,https://x.com/lanza90s/status/1917206186304180687,tweet_id:1917206186304180687
dedeca,@mandscosta3,2025-04-29T10:59:26.000Z,False,"Transporte público de Brasília é um descaso, vcs merecem todo meu ódio metrô DF, IMUNDOS",0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1711376716042481664/OlX09HKE_bigger.jpg,https://x.com/mandscosta3/status/1917171862729019899,tweet_id:1917171862729019899
isa.,@Pessoa_Isabella,2025-04-28T09:51:35.000Z,False,Eu tenho uma raaaaaiva desse transporte publico de Brasília,0,0,1,26,[],[],[],https://pbs.twimg.com/profile_images/1517316948970905600/8Tx1PIOE_bigger.jpg,https://x.com/Pessoa_Isabella/status/1916792402372694089,tweet_id:1916792402372694089
Flávia,@itsmeflaviaa,2025-04-27T13:41:27.000Z,False,em Brasília vc não precisa pagar passagem aos domingos e feriados até pq NÃO TERÁ transporte público nesses dias,1,3,9,247,[],[],[],https://pbs.twimg.com/profile_images/1612973319254429698/53tTp6Ol_bigger.jpg,https://x.com/itsmeflaviaa/status/1916487863312564281,tweet_id:1916487863312564281
Uchôa,@Pedrosmel,2025-04-24T22:45:56.000Z,False,transporte público em Brasília é uma MERDA,0,1,0,87,[],[],[],https://pbs.twimg.com/profile_images/1755084852712353793/n4SByoCl_bigger.jpg,https://x.com/Pedrosmel/status/1915537723261129057,tweet_id:1915537723261129057
M A D U - A R R U D A- SCCP,@existindo2019,2025-04-24T13:59:46.000Z,False,Depender de transporte público em Brasília tá foda,0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1912500980198854656/m31XdEx4_bigger.jpg,https://x.com/existindo2019/status/1915405308291055899,tweet_id:1915405308291055899
Aqui Tem Pechincha,@AquiPechincha,2025-04-24T13:51:01.000Z,True,"INIMIGO DO TRANSPORTE PUBLICO     caiu demais o preço! Mala Nike Brasilia M Duff 9.5 - 60 LitrosR$ 181,68 no pix Use o cupom: CAMPEAO15
Compre aqui: https://aquitempechincha.com.br/?p=268258",0,0,0,45,[],[],"['\\U0001f601', '\\U0001f3c3\\u200d\\u2640\\ufe0f', '\\U0001f3c3\\u200d\\u2642\\ufe0f', '\\U0001f3c3', '\\U0001f525', '\\u26a0\\ufe0f']",https://pbs.twimg.com/profile_images/1821148456745861120/_0tI8IcS_bigger.jpg,https://x.com/AquiPechincha/status/1915403106780697067,tweet_id:1915403106780697067
и,@lanza90s,2025-04-29T13:15:49.000Z,False,"queria entender como que a CAPITAL do país possui um transporte público tão medíocre, sinceramente

se tivesse metrô em TODAS as cidades satélites, brasília não seria esse caos tnc",0,0,1,25,[],[],[],https://pbs.twimg.com/profile_images/1916808635956510720/-3f1bdIS_bigger.jpg,https://x.com/lanza90s/status/1917206186304180687,tweet_id:1917206186304180687
felipe,@felpismoura,2025-04-29T21:55:32.000Z,False,"eu ODEIO depender do transporte público de Brasília, que lugar amaldiçoado por Deus!",0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1847800055127855104/v9oaRIc7_bigger.jpg,https://x.com/felpismoura/status/1917336976220454985,tweet_id:1917336976220454985
