Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Cristiano Ronaldo,@Cristiano,2025-04-02T21:35:53.000Z,True,Working hard to reach our goals ,1.7K,5.2K,83K,10M,[],[],['\\U0001f44a\\U0001f3fc'],https://pbs.twimg.com/profile_images/1594446880498401282/o4L2z8Ay_bigger.jpg,https://x.com/Cristiano/status/1907547560811622414,tweet_id:1907547560811622414
Nick Di Fabio,@NickDiFabio1,2025-04-01T12:22:32.000Z,True,"99% of people think the Bible never changed. 

But Ethiopia's version is older, larger, & contains lost books revealing:

• Lost prophecies
• Hidden histories
• Stories Western Christianity concealed

Here's what's inside the Ethiopian Bible (& why it was kept hidden):",2.6K,17K,83K,17M,[],[],[],https://pbs.twimg.com/profile_images/1684705563270393858/COkPLdVC_bigger.jpg,https://x.com/NickDiFabio1/status/1907045915434643626,tweet_id:1907045915434643626
Artur Alves,@lebigh_official,2025-04-02T13:20:48.000Z,True,"Em 1992, a Pepsi lançou uma promoção genial.
As vendas explodiram de $10M para $14M em 1 dia.

Mas um erro transformou o sucesso em caos:
Tumultos, processos e até 5 mortes.

O maior desastre de marketing da história: ",171,1.4K,28K,4.3M,[],[],"['\\U0001f9f5', '\\U0001f447']",https://pbs.twimg.com/profile_images/1853917508949925888/OYdwL_7l_bigger.jpg,https://x.com/lebigh_official/status/1907422968155713988,tweet_id:1907422968155713988
Cristiano Ronaldo,@Cristiano,2025-04-02T21:35:53.000Z,True,Working hard to reach our goals ,1.7K,5.2K,83K,10M,[],[],['\\U0001f44a\\U0001f3fc'],https://pbs.twimg.com/profile_images/1594446880498401282/o4L2z8Ay_bigger.jpg,https://x.com/Cristiano/status/1907547560811622414,tweet_id:1907547560811622414
Elon Musk,@elonmusk,2025-04-01T14:45:22.000Z,True,,5.1K,11K,68K,18M,[],[],"['\\u2764\\ufe0f', '\\U0001f1fa\\U0001f1f8']",https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907081862700212684,tweet_id:1907081862700212684
Elon Musk,@elonmusk,2025-04-01T15:02:04.000Z,True,Unreal.,32K,34K,137K,26M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907086065078305124,tweet_id:1907086065078305124
REAL MIL GRAU,@realmilgrauu,2025-04-02T15:30:46.000Z,True,Qual narrador vocês escolheriam pra narrar o título mais importante da história do time de vocês?,1.5K,321,5.1K,529K,[],[],[],https://pbs.twimg.com/profile_images/1792293012569010176/0hfNYnVp_bigger.jpg,https://x.com/realmilgrauu/status/1907455676588130415,tweet_id:1907455676588130415
The Forex Complex,@TheForexComplex,2025-04-02T14:19:32.000Z,True,"This is the Sultan of Brunei.

He owns 600 Rolls-Royces, and his palace has 1,788 rooms.

Here are 6 ridiculous facts about the world's most expensive lifestyle:",400,1.8K,13K,2.7M,[],[],[],https://pbs.twimg.com/profile_images/1608068168467025920/yjbIx4B6_bigger.jpg,https://x.com/TheForexComplex/status/1907437748039950404,tweet_id:1907437748039950404
Uncle Chu,@datchuguyy,2025-04-02T06:20:50.000Z,True,"8 WAYS To Approach Girls | Effective + Boldness 

- Female Psychology Thread -",313,1.2K,12K,6.5M,[],[],[],https://pbs.twimg.com/profile_images/1650543823397826574/bhegMOOF_bigger.jpg,https://x.com/datchuguyy/status/1907317278611284125,tweet_id:1907317278611284125
hasanabi,@hasanthehun,2025-04-02T02:05:09.000Z,True,"yo  maybe you shouldn't have showed up to wisconsin man, i think people hate you there",1K,6K,125K,2.4M,[],['@elonmusk'],[],https://pbs.twimg.com/profile_images/1811124877019205640/rXCuts2d_bigger.jpg,https://x.com/hasanthehun/status/1907252934393671777,tweet_id:1907252934393671777
DataFut,@DataFutebol,2025-04-02T22:06:47.000Z,True,"QUE GOLAÇO DO PHILIPPE COUTINHO!!!!

O VASCO ABRE O PLACAR COM 3 MINUTOS DE JOGO!",170,1K,16K,394K,[],[],[],https://pbs.twimg.com/profile_images/1839047548683554816/oZ-zBzvH_bigger.jpg,https://x.com/DataFutebol/status/1907555338326556811,tweet_id:1907555338326556811
Donald J. Trump,@realDonaldTrump,2025-04-02T20:07:22.000Z,True,,5.3K,11K,53K,8.9M,[],[],[],https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_bigger.jpg,https://x.com/realDonaldTrump/status/1907525286150754745,tweet_id:1907525286150754745
Elon Musk,@elonmusk,2025-04-01T05:53:30.000Z,True,,4.6K,40K,138K,30M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1906948011667698146,tweet_id:1906948011667698146
Elon Musk (Parody),@ElonMuskAOC,2025-04-02T13:31:00.000Z,True,How many dots do you see?,4.1K,313,1.9K,376K,[],[],[],https://pbs.twimg.com/profile_images/1785089965619118080/NATKmh45_bigger.jpg,https://x.com/ElonMuskAOC/status/1907425534855782480,tweet_id:1907425534855782480
